"user_id","game_name","month","total_rev","prev_paid_month","prev_paid_rev","next_paid_month","prev_cal_month","next_cal_month","new_mrr","expansion_mrr","contraction_mrr","back_from_churn_mrr","churn_mrr","churn_month","language","has_older_device_model","age"
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-10-01,77.19,2022-09-01,58.20,2022-11-01,2022-09-01,2022-11-01,,18.99,,,,,uk,false,22
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-11-01,63.27,2022-10-01,77.19,2022-12-01,2022-10-01,2022-12-01,,,13.92,,,,uk,false,22
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-12-01,21.72,2022-11-01,63.27,,2022-11-01,2023-01-01,,,41.55,,21.72,2023-01-01,uk,false,22
"1tIsLi6U0zW1RIuaViNanA==",game 3,2022-09-01,33.36,,,2022-10-01,2022-08-01,2022-10-01,33.36,,,,,,uk,false,20
"1tIsLi6U0zW1RIuaViNanA==",game 3,2022-10-01,29.25,2022-09-01,33.36,2022-11-01,2022-09-01,2022-11-01,,,4.11,,,,uk,false,20
"1tIsLi6U0zW1RIuaViNanA==",game 3,2022-11-01,18.15,2022-10-01,29.25,2022-12-01,2022-10-01,2022-12-01,,,11.10,,,,uk,false,20
"1tIsLi6U0zW1RIuaViNanA==",game 3,2022-12-01,69.48,2022-11-01,18.15,,2022-11-01,2023-01-01,,51.33,,,69.48,2023-01-01,uk,false,20
"29qvbD06oXdmg5G7X/Wigw==",game 3,2022-12-01,24.51,,,,2022-11-01,2023-01-01,24.51,,,,24.51,2023-01-01,uk,false,17
"2be8IOVjt9pzDDEVqZwIKQ==",game 3,2022-10-01,27.0,,,2022-12-01,2022-09-01,2022-11-01,27.0,,,,27.0,2022-11-01,ru,false,25
"2be8IOVjt9pzDDEVqZwIKQ==",game 3,2022-12-01,69.96,2022-10-01,27.0,,2022-11-01,2023-01-01,,,,69.96,69.96,2023-01-01,ru,false,25
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-04-01,56.85,,,2022-05-01,2022-03-01,2022-05-01,56.85,,,,,,ru,false,20
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-05-01,30.33,2022-04-01,56.85,2022-06-01,2022-04-01,2022-06-01,,,26.52,,,,ru,false,20
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-06-01,22.47,2022-05-01,30.33,2022-07-01,2022-05-01,2022-07-01,,,7.86,,,,ru,false,20
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-07-01,24.84,2022-06-01,22.47,2022-08-01,2022-06-01,2022-08-01,,2.37,,,,,ru,false,20
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-08-01,14.19,2022-07-01,24.84,2022-10-01,2022-07-01,2022-09-01,,,10.65,,14.19,2022-09-01,ru,false,20
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-10-01,42.84,2022-08-01,14.19,2022-11-01,2022-09-01,2022-11-01,,,,42.84,,,ru,false,20
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-11-01,29.13,2022-10-01,42.84,2022-12-01,2022-10-01,2022-12-01,,,13.71,,,,ru,false,20
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-12-01,14.13,2022-11-01,29.13,,2022-11-01,2023-01-01,,,15.00,,14.13,2023-01-01,ru,false,20
"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,2022-09-01,14.04,,,2022-10-01,2022-08-01,2022-10-01,14.04,,,,,,ru,false,18
"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,2022-10-01,56.04,2022-09-01,14.04,2022-11-01,2022-09-01,2022-11-01,,42.00,,,,,ru,false,18
"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,2022-11-01,24.84,2022-10-01,56.04,,2022-10-01,2022-12-01,,,31.20,,24.84,2022-12-01,ru,false,18
"2onLVyXEEj2aH+D4N9ldYQ==",game 3,2022-08-01,50.04,,,2022-10-01,2022-07-01,2022-09-01,50.04,,,,50.04,2022-09-01,uk,false,16
"2onLVyXEEj2aH+D4N9ldYQ==",game 3,2022-10-01,42.72,2022-08-01,50.04,2022-11-01,2022-09-01,2022-11-01,,,,42.72,,,uk,false,16
"2onLVyXEEj2aH+D4N9ldYQ==",game 3,2022-11-01,22.68,2022-10-01,42.72,2022-12-01,2022-10-01,2022-12-01,,,20.04,,,,uk,false,16
"2onLVyXEEj2aH+D4N9ldYQ==",game 3,2022-12-01,106.38,2022-11-01,22.68,,2022-11-01,2023-01-01,,83.70,,,106.38,2023-01-01,uk,false,16
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-04-01,54.96,,,2022-05-01,2022-03-01,2022-05-01,54.96,,,,,,uk,false,23
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-05-01,72.06,2022-04-01,54.96,2022-06-01,2022-04-01,2022-06-01,,17.10,,,,,uk,false,23
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-06-01,25.35,2022-05-01,72.06,2022-07-01,2022-05-01,2022-07-01,,,46.71,,,,uk,false,23
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-07-01,38.10,2022-06-01,25.35,2022-09-01,2022-06-01,2022-08-01,,12.75,,,38.10,2022-08-01,uk,false,23
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-09-01,12.12,2022-07-01,38.10,2022-10-01,2022-08-01,2022-10-01,,,,12.12,,,uk,false,23
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-10-01,21.87,2022-09-01,12.12,2022-11-01,2022-09-01,2022-11-01,,9.75,,,,,uk,false,23
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-11-01,15.99,2022-10-01,21.87,,2022-10-01,2022-12-01,,,5.88,,15.99,2022-12-01,uk,false,23
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-03-01,23.76,,,2022-04-01,2022-02-01,2022-04-01,23.76,,,,,,ru,false,16
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-04-01,81.42,2022-03-01,23.76,2022-05-01,2022-03-01,2022-05-01,,57.66,,,,,ru,false,16
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-05-01,15.69,2022-04-01,81.42,2022-06-01,2022-04-01,2022-06-01,,,65.73,,,,ru,false,16
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-06-01,34.35,2022-05-01,15.69,2022-07-01,2022-05-01,2022-07-01,,18.66,,,,,ru,false,16
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-07-01,50.58,2022-06-01,34.35,2022-08-01,2022-06-01,2022-08-01,,16.23,,,,,ru,false,16
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-08-01,97.08,2022-07-01,50.58,2022-09-01,2022-07-01,2022-09-01,,46.50,,,,,ru,false,16
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-09-01,18.72,2022-08-01,97.08,,2022-08-01,2022-10-01,,,78.36,,18.72,2022-10-01,ru,false,16
"3KHhqZr7/1n2+bTP13WuXA==",game 3,2022-06-01,74.85,,,2022-08-01,2022-05-01,2022-07-01,74.85,,,,74.85,2022-07-01,uk,false,16
"3KHhqZr7/1n2+bTP13WuXA==",game 3,2022-08-01,20.19,2022-06-01,74.85,2022-09-01,2022-07-01,2022-09-01,,,,20.19,,,uk,false,16
"3KHhqZr7/1n2+bTP13WuXA==",game 3,2022-09-01,48.27,2022-08-01,20.19,2022-10-01,2022-08-01,2022-10-01,,28.08,,,,,uk,false,16
"3KHhqZr7/1n2+bTP13WuXA==",game 3,2022-10-01,29.22,2022-09-01,48.27,,2022-09-01,2022-11-01,,,19.05,,29.22,2022-11-01,uk,false,16
"3KSfEl7FcP/+5FSUNXs5Aw==",game 3,2022-10-01,23.31,,,,2022-09-01,2022-11-01,23.31,,,,23.31,2022-11-01,ru,false,28
"3OXz+Ar2gN+zfGLZTRCVMQ==",game 3,2022-12-01,18.9,,,,2022-11-01,2023-01-01,18.9,,,,18.9,2023-01-01,uk,false,16
"3rCdNEPkh3vwmYB0BVadEw==",game 3,2022-05-01,22.86,,,2022-07-01,2022-04-01,2022-06-01,22.86,,,,22.86,2022-06-01,ru,false,27
"3rCdNEPkh3vwmYB0BVadEw==",game 3,2022-07-01,21.87,2022-05-01,22.86,2022-08-01,2022-06-01,2022-08-01,,,,21.87,,,ru,false,27
"3rCdNEPkh3vwmYB0BVadEw==",game 3,2022-08-01,17.34,2022-07-01,21.87,,2022-07-01,2022-09-01,,,4.53,,17.34,2022-09-01,ru,false,27
"3TfpxDVNF0T+g4S60EOCBw==",game 3,2022-11-01,15.27,,,,2022-10-01,2022-12-01,15.27,,,,15.27,2022-12-01,uk,false,28
"3v8rT35Ra6ui/zatnMoTIw==",game 3,2022-11-01,17.85,,,2022-12-01,2022-10-01,2022-12-01,17.85,,,,,,uk,false,28
"3v8rT35Ra6ui/zatnMoTIw==",game 3,2022-12-01,43.62,2022-11-01,17.85,,2022-11-01,2023-01-01,,25.77,,,43.62,2023-01-01,uk,false,28
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-04-01,59.67,,,2022-05-01,2022-03-01,2022-05-01,59.67,,,,,,uk,true,21
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-05-01,12.36,2022-04-01,59.67,2022-06-01,2022-04-01,2022-06-01,,,47.31,,,,uk,true,21
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-06-01,20.13,2022-05-01,12.36,2022-07-01,2022-05-01,2022-07-01,,7.77,,,,,uk,true,21
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-07-01,15.78,2022-06-01,20.13,2022-08-01,2022-06-01,2022-08-01,,,4.35,,,,uk,true,21
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-08-01,17.16,2022-07-01,15.78,2022-09-01,2022-07-01,2022-09-01,,1.38,,,,,uk,true,21
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-09-01,19.74,2022-08-01,17.16,2022-12-01,2022-08-01,2022-10-01,,2.58,,,19.74,2022-10-01,uk,true,21
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-12-01,26.73,2022-09-01,19.74,,2022-11-01,2023-01-01,,,,26.73,26.73,2023-01-01,uk,true,21
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-06-01,12.69,,,2022-07-01,2022-05-01,2022-07-01,12.69,,,,,,uk,false,25
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-07-01,41.73,2022-06-01,12.69,2022-08-01,2022-06-01,2022-08-01,,29.04,,,,,uk,false,25
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-08-01,19.86,2022-07-01,41.73,2022-09-01,2022-07-01,2022-09-01,,,21.87,,,,uk,false,25
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-09-01,34.32,2022-08-01,19.86,2022-10-01,2022-08-01,2022-10-01,,14.46,,,,,uk,false,25
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-10-01,30.9,2022-09-01,34.32,,2022-09-01,2022-11-01,,,3.42,,30.9,2022-11-01,uk,false,25
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-03-01,27.15,,,2022-04-01,2022-02-01,2022-04-01,27.15,,,,,,uk,true,20
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-04-01,14.94,2022-03-01,27.15,2022-05-01,2022-03-01,2022-05-01,,,12.21,,,,uk,true,20
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-05-01,26.40,2022-04-01,14.94,2022-06-01,2022-04-01,2022-06-01,,11.46,,,,,uk,true,20
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-06-01,22.83,2022-05-01,26.40,2022-07-01,2022-05-01,2022-07-01,,,3.57,,,,uk,true,20
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-07-01,89.28,2022-06-01,22.83,2022-08-01,2022-06-01,2022-08-01,,66.45,,,,,uk,true,20
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-08-01,16.56,2022-07-01,89.28,2022-09-01,2022-07-01,2022-09-01,,,72.72,,,,uk,true,20
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-09-01,18.24,2022-08-01,16.56,2022-11-01,2022-08-01,2022-10-01,,1.68,,,18.24,2022-10-01,uk,true,20
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-11-01,31.26,2022-09-01,18.24,2022-12-01,2022-10-01,2022-12-01,,,,31.26,,,uk,true,20
"4b7l8C489HEJirtoe7xtFg==",game 3,2022-12-01,21.75,2022-11-01,31.26,,2022-11-01,2023-01-01,,,9.51,,21.75,2023-01-01,uk,true,20
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-03-01,17.79,,,2022-04-01,2022-02-01,2022-04-01,17.79,,,,,,ru,false,20
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-04-01,125.97,2022-03-01,17.79,2022-05-01,2022-03-01,2022-05-01,,108.18,,,,,ru,false,20
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-05-01,91.68,2022-04-01,125.97,2022-06-01,2022-04-01,2022-06-01,,,34.29,,,,ru,false,20
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-06-01,27.87,2022-05-01,91.68,2022-07-01,2022-05-01,2022-07-01,,,63.81,,,,ru,false,20
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-07-01,40.71,2022-06-01,27.87,2022-08-01,2022-06-01,2022-08-01,,12.84,,,,,ru,false,20
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-08-01,47.91,2022-07-01,40.71,2022-09-01,2022-07-01,2022-09-01,,7.20,,,,,ru,false,20
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-09-01,23.34,2022-08-01,47.91,2022-12-01,2022-08-01,2022-10-01,,,24.57,,23.34,2022-10-01,ru,false,20
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-12-01,92.10,2022-09-01,23.34,,2022-11-01,2023-01-01,,,,92.10,92.10,2023-01-01,ru,false,20
"4EiWC2ewiX2A7i9NuBAefQ==",game 3,2022-09-01,18.69,,,2022-10-01,2022-08-01,2022-10-01,18.69,,,,,,uk,true,18
"4EiWC2ewiX2A7i9NuBAefQ==",game 3,2022-10-01,57.39,2022-09-01,18.69,2022-11-01,2022-09-01,2022-11-01,,38.70,,,,,uk,true,18
"4EiWC2ewiX2A7i9NuBAefQ==",game 3,2022-11-01,29.79,2022-10-01,57.39,,2022-10-01,2022-12-01,,,27.60,,29.79,2022-12-01,uk,true,18
"4oH5e29koOH9zNYW8Kwcsg==",game 3,2022-05-01,12.99,,,2022-07-01,2022-04-01,2022-06-01,12.99,,,,12.99,2022-06-01,uk,false,28
"4oH5e29koOH9zNYW8Kwcsg==",game 3,2022-07-01,18.06,2022-05-01,12.99,2022-08-01,2022-06-01,2022-08-01,,,,18.06,,,uk,false,28
"4oH5e29koOH9zNYW8Kwcsg==",game 3,2022-08-01,12.51,2022-07-01,18.06,,2022-07-01,2022-09-01,,,5.55,,12.51,2022-09-01,uk,false,28
"4pssft0TgDfiQexjbe25lw==",game 3,2022-06-01,14.76,,,2022-07-01,2022-05-01,2022-07-01,14.76,,,,,,ru,false,26
"4pssft0TgDfiQexjbe25lw==",game 3,2022-07-01,14.43,2022-06-01,14.76,2022-08-01,2022-06-01,2022-08-01,,,0.33,,,,ru,false,26
"4pssft0TgDfiQexjbe25lw==",game 3,2022-08-01,59.40,2022-07-01,14.43,2022-11-01,2022-07-01,2022-09-01,,44.97,,,59.40,2022-09-01,ru,false,26
"4pssft0TgDfiQexjbe25lw==",game 3,2022-11-01,37.80,2022-08-01,59.40,,2022-10-01,2022-12-01,,,,37.80,37.80,2022-12-01,ru,false,26
"54ouP7lBhVCeV8ftS1Oj4Q==",game 3,2022-11-01,29.22,,,2022-12-01,2022-10-01,2022-12-01,29.22,,,,,,ru,false,21
"54ouP7lBhVCeV8ftS1Oj4Q==",game 3,2022-12-01,28.23,2022-11-01,29.22,,2022-11-01,2023-01-01,,,0.99,,28.23,2023-01-01,ru,false,21
"5a/eDajN+4bJdigfI5TWoQ==",game 3,2022-07-01,12.87,,,,2022-06-01,2022-08-01,12.87,,,,12.87,2022-08-01,ru,false,17
"5fGaUgWk82R8c6U6A5d9pg==",game 3,2022-12-01,17.28,,,,2022-11-01,2023-01-01,17.28,,,,17.28,2023-01-01,uk,false,31
"5n2VR2SS79K3vJ0/V2A8RQ==",game 3,2022-08-01,47.13,,,2022-09-01,2022-07-01,2022-09-01,47.13,,,,,,ru,false,27
"5n2VR2SS79K3vJ0/V2A8RQ==",game 3,2022-09-01,32.04,2022-08-01,47.13,,2022-08-01,2022-10-01,,,15.09,,32.04,2022-10-01,ru,false,27
"6NexxpTuLaFmuoksJ0l8rg==",game 3,2022-10-01,19.17,,,2022-12-01,2022-09-01,2022-11-01,19.17,,,,19.17,2022-11-01,uk,false,24
"6NexxpTuLaFmuoksJ0l8rg==",game 3,2022-12-01,102.84,2022-10-01,19.17,,2022-11-01,2023-01-01,,,,102.84,102.84,2023-01-01,uk,false,24
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-05-01,22.74,,,2022-06-01,2022-04-01,2022-06-01,22.74,,,,,,uk,false,19
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-06-01,28.95,2022-05-01,22.74,2022-07-01,2022-05-01,2022-07-01,,6.21,,,,,uk,false,19
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-07-01,118.83,2022-06-01,28.95,2022-08-01,2022-06-01,2022-08-01,,89.88,,,,,uk,false,19
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-08-01,21.87,2022-07-01,118.83,2022-09-01,2022-07-01,2022-09-01,,,96.96,,,,uk,false,19
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-09-01,41.55,2022-08-01,21.87,2022-10-01,2022-08-01,2022-10-01,,19.68,,,,,uk,false,19
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-10-01,151.68,2022-09-01,41.55,2022-11-01,2022-09-01,2022-11-01,,110.13,,,,,uk,false,19
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-11-01,95.43,2022-10-01,151.68,2022-12-01,2022-10-01,2022-12-01,,,56.25,,,,uk,false,19
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-12-01,75.81,2022-11-01,95.43,,2022-11-01,2023-01-01,,,19.62,,75.81,2023-01-01,uk,false,19
/70HXakPPmIGA9K58CIOug==,game 3,2022-10-01,15.48,,,2022-11-01,2022-09-01,2022-11-01,15.48,,,,,,uk,false,18
/70HXakPPmIGA9K58CIOug==,game 3,2022-11-01,12.51,2022-10-01,15.48,,2022-10-01,2022-12-01,,,2.97,,12.51,2022-12-01,uk,false,18
"72brUr/DKItStlTen5pHYg==",game 3,2022-03-01,24.15,,,2022-05-01,2022-02-01,2022-04-01,24.15,,,,24.15,2022-04-01,uk,false,24
"72brUr/DKItStlTen5pHYg==",game 3,2022-05-01,19.92,2022-03-01,24.15,2022-06-01,2022-04-01,2022-06-01,,,,19.92,,,uk,false,24
"72brUr/DKItStlTen5pHYg==",game 3,2022-06-01,86.91,2022-05-01,19.92,2022-07-01,2022-05-01,2022-07-01,,66.99,,,,,uk,false,24
"72brUr/DKItStlTen5pHYg==",game 3,2022-07-01,37.11,2022-06-01,86.91,2022-08-01,2022-06-01,2022-08-01,,,49.80,,,,uk,false,24
"72brUr/DKItStlTen5pHYg==",game 3,2022-08-01,30.63,2022-07-01,37.11,2022-09-01,2022-07-01,2022-09-01,,,6.48,,,,uk,false,24
"72brUr/DKItStlTen5pHYg==",game 3,2022-09-01,18.3,2022-08-01,30.63,2022-10-01,2022-08-01,2022-10-01,,,12.33,,,,uk,false,24
"72brUr/DKItStlTen5pHYg==",game 3,2022-10-01,31.98,2022-09-01,18.3,2022-11-01,2022-09-01,2022-11-01,,13.68,,,,,uk,false,24
"72brUr/DKItStlTen5pHYg==",game 3,2022-11-01,13.56,2022-10-01,31.98,,2022-10-01,2022-12-01,,,18.42,,13.56,2022-12-01,uk,false,24
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-03-01,14.1,,,2022-04-01,2022-02-01,2022-04-01,14.1,,,,,,ru,false,22
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-04-01,65.97,2022-03-01,14.1,2022-05-01,2022-03-01,2022-05-01,,51.87,,,,,ru,false,22
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-05-01,58.26,2022-04-01,65.97,2022-06-01,2022-04-01,2022-06-01,,,7.71,,,,ru,false,22
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-06-01,86.85,2022-05-01,58.26,2022-07-01,2022-05-01,2022-07-01,,28.59,,,,,ru,false,22
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-07-01,49.23,2022-06-01,86.85,2022-09-01,2022-06-01,2022-08-01,,,37.62,,49.23,2022-08-01,ru,false,22
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-09-01,13.8,2022-07-01,49.23,,2022-08-01,2022-10-01,,,,13.8,13.8,2022-10-01,ru,false,22
"787jk0VnxM8/sv/0TkvO6A==",game 3,2022-03-01,48.45,,,2022-04-01,2022-02-01,2022-04-01,48.45,,,,,,uk,false,20
"787jk0VnxM8/sv/0TkvO6A==",game 3,2022-04-01,53.49,2022-03-01,48.45,2022-05-01,2022-03-01,2022-05-01,,5.04,,,,,uk,false,20
"787jk0VnxM8/sv/0TkvO6A==",game 3,2022-05-01,36.75,2022-04-01,53.49,2022-06-01,2022-04-01,2022-06-01,,,16.74,,,,uk,false,20
"787jk0VnxM8/sv/0TkvO6A==",game 3,2022-06-01,97.95,2022-05-01,36.75,2022-07-01,2022-05-01,2022-07-01,,61.20,,,,,uk,false,20
